model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
TF-IDF + Logistic Regression,0.7512242899118511,0.6832143421478317,0.7387111384154761,0.7021978381580938,0.7524029620199556
BiLSTM,0.7178011753183153,0.6261673511282232,0.670534830046535,0.6425273645846206,0.7227442535152938
DistilBERT,0.7883202742409402,0.7339982128513232,0.7681969895901913,0.7449347770843731,0.7907812362386077
