model,macro_f1_at_10_percent,macro_f1_at_100_percent,absolute_gain
BiLSTM,0.49309070097036883,0.6546374586373793,0.1615467576670105
DistilBERT,0.6628502244619949,0.7527747949408956,0.08992457047890068
TF-IDF + Logistic Regression,0.6257282183365874,0.7021978381580938,0.07646961982150635
