epoch,train_loss,val_macro_f1
1,1.1473920887848674,0.5554814964419341
2,0.7518699146407163,0.6394060726432862
3,0.5759524635395548,0.6526478113101858
4,0.4516505486138115,0.6578488153227444
5,0.3531925746164716,0.6642514297165644
